Sentiment	Title
1	IHSG Ditutup Naik Tembus Level 6.100, Asing Borong Saham BBCA
1	BBCA Bakal Stock Split, Ini Alasan Manajemen BCA
0	Direktur BCA Beli Saham BBCA Saat Asing Lakukan Aksi Jual
0	Harga Saham Turun, Bos BCA dan 2 Direksi Lakukan Aksi Beli ...
1	IHSG Perkasa di Sesi I, Asing Borong BBCA, BMRI, dan BUKA ...
1	IHSG Menguat di Sesi I, Saham BBCA, TLKM dan BUKA Diborong ...
1	IHSG Akhir Pekan Menguat, BBCA, TLKM, TBIG Diborong Asing
1	Bakal Stock Split, Jadi Berapa Harga Saham BCA? Halaman all ...
1	IHSG Ditutup Negatif, Saham BUKA dan BBCA Laris Diborong Asing
0	IHSG Ditutup Melemah, Asing Banyak Lepas Saham BBCA, ICBP ...
1	BCA Akan Stock Split, Analis: Investor Bermodal Kecil Lebih Mudah ...
1	IHSG Ditutup Positif, Asing Koleksi BBCA, BUKA, dan TLKM ...
0	IHSG Ditutup Turun 0,51 Persen, Asing Lepas BBRI dan BBCA
1	IHSG Menguat di Sesi I, Asing Borong Saham BBCA, TLKM, dan ...
0	IHSG Masih Merah pada Penutupan Sesi I, Asing Lepas BBCA ...
0	IHSG Ditutup Negatif, Asing Banyak Lepas Saham BBCA, INCO ...
1	Cetak Laba Tertinggi di Industrinya, Saham BBCA Diborong Asing ...
0	IHSG Ditutup Melemah 1,54 Persen, Asing Lepas BBCA, BBNI, dan ...
